"name","symbol","price","market cap"
"Bitcoin","BTC","10983.62","195413786185"
"Ethereum","ETH","294.08","31383089189"
"XRP","XRP","0.406125","17287363523"
"Litecoin","LTC","122.17","7632189873"
"Bitcoin Cash","BCH","408.98","7307507506"
"EOS","EOS","5.85","5390154037"
"Binance Coin","BNB","33.38","4712138006"
"Tether","USDT","0.992707","3574120136"
"Bitcoin SV","BSV","196.78","3513495834"
"Cardano","ADA","0.083924","2175905533"
"TRON","TRX","0.032514","2168127551"
"Stellar","XLM","0.106584","2069840670"
"UNUS SED LEO","LEO","1.77","1765440432"
"Monero","XMR","92.55","1579839629"
"Dash","DASH","158.51","1409665167"
"Chainlink","LINK","3.5","1226162722"
"NEO","NEO","16.62","1172070992"
"IOTA","MIOTA","0.403811","1122406065"
"Cosmos","ATOM","5.58","1063298561"
"Ethereum Classic","ETC","7.85","876403777"
"NEM","XEM","0.092565","833082762"
"Ontology","ONT","1.45","718433226"
"Zcash","ZEC","103.39","710692453"
"Maker","MKR","630.62","630616571"
"Tezos","XTZ","0.917344","606062952"
"Qtum","QTUM","4.91","470829806"
"Crypto.com Chain","CRO","0.062102","462076001"
"Bitcoin Gold","BTG","26.38","461983465"
"VeChain","VET","0.008275","458861178"
"Basic Attenti...","BAT","0.328197","417190047"
"Dogecoin","DOGE","0.003282","394361643"
"USD Coin","USDC","0.998748","365029768"
"OmiseGO","OMG","2.47","346373233"
"BitTorrent","BTT","0.001455","308582873"
"Decred","DCR","30.62","306712614"
"V Systems","VSYS","0.168463","294177651"
"Holo","HOT","0.001875","249772677"
"Aurora","AOA","0.035049","229300218"
"Lisk","LSK","1.83","216559014"
"TrueUSD","TUSD","0.999016","214165273"
"Bitcoin Diamond","BCD","1.14","212980408"
"Ravencoin","RVN","0.054733","212308395"
"Pundi X","NPXS","0.000892","212087753"
"Egretia","EGT","0.048829","205390527"
"Huobi Token","HT","4.1","204852093"
"HedgeTrade","HEDG","0.679447","195948230"
"Waves","WAVES","1.91","191468665"
"HyperCash","HC","4.32","188102867"
"0x","ZRX","0.311669","186306429"
"Qubitica","QBIT","62.31","175012085"
"Augur","REP","15.81","173935025"
"Nano","NANO","1.28","169908989"
"Komodo","KMD","1.47","168671675"
"MonaCoin","MONA","2.51","165083574"
"BitShares","BTS","0.059427","162292761"
